t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.000000e+00,1.000000e+00,1.000000e-02,4.200000e+00,7.071061e-01,-1.000009e-03,-1.000009e-03,7.071061e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.773746e-02,0.000000e+00,-3.922707e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.961320e+00,1.961320e+00,1.961320e+00,1.961320e+00,0.0,0.0,0.0,0.0,0.0,0.0,
9.846995e-04,1.000000e+00,1.000000e-02,4.200000e+00,7.071061e-01,-1.000020e-03,-1.000020e-03,7.071061e-01,-2.724920e-05,-3.109717e-13,-2.263557e-05,-1.100507e-04,-6.559130e-07,-6.296759e-08,-2.758200e-02,-1.889486e-09,-5.511458e-02,-2.682256e-01,-1.598652e-03,-1.534704e-04,1.970662e+00,1.930188e+00,1.970182e+00,1.930188e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.969399e-03,1.000000e+00,1.000000e-02,4.200000e+00,7.071061e-01,-1.000108e-03,-1.000109e-03,7.071061e-01,-5.434607e-05,-6.908548e-12,-9.950382e-05,-4.842230e-04,-2.886017e-06,-2.770574e-07,-2.742864e-02,-1.628306e-08,-1.101899e-01,-5.364513e-01,-3.197303e-03,-3.069408e-04,1.980003e+00,1.899056e+00,1.979044e+00,1.899056e+00,0.0,0.0,0.0,0.0,0.0,0.0,
2.954098e-03,9.999999e-01,1.000000e-02,4.200000e+00,7.071061e-01,-1.000363e-03,-1.000367e-03,7.071061e-01,-8.129367e-05,-3.817548e-11,-2.306047e-04,-1.122517e-03,-6.690313e-06,-6.422694e-07,-2.727985e-02,-5.791243e-08,-1.652653e-01,-8.046769e-01,-4.795954e-03,-4.604112e-04,1.989345e+00,1.867924e+00,1.987906e+00,1.867924e+00,0.0,0.0,0.0,0.0,0.0,0.0,
3.938798e-03,9.999998e-01,1.000000e-02,4.199999e+00,7.071061e-01,-1.000877e-03,-1.000887e-03,7.071061e-01,-1.080975e-04,-1.268607e-10,-4.159384e-04,-2.024933e-03,-1.206880e-05,-1.158604e-06,-2.713804e-02,-1.411678e-07,-2.203407e-01,-1.072903e+00,-6.394605e-03,-6.138815e-04,1.998686e+00,1.836792e+00,1.996768e+00,1.836792e+00,0.0,0.0,0.0,0.0,0.0,0.0,
4.923497e-03,9.999997e-01,1.000000e-02,4.199999e+00,7.071061e-01,-1.001741e-03,-1.001762e-03,7.071061e-01,-1.347655e-04,-3.197431e-10,-6.555047e-04,-3.191470e-03,-1.902147e-05,-1.826060e-06,-2.700557e-02,-2.800979e-07,-2.754161e-01,-1.341128e+00,-7.993254e-03,-7.673519e-04,2.008028e+00,1.805660e+00,2.005630e+00,1.805660e+00,0.0,0.0,0.0,0.0,0.0,0.0,
5.908197e-03,9.999995e-01,1.000000e-02,4.199998e+00,7.071061e-01,-1.003048e-03,-1.003084e-03,7.071061e-01,-1.613076e-04,-6.772951e-10,-9.493038e-04,-4.622129e-03,-2.754834e-05,-2.644639e-06,-2.688474e-02,-4.884098e-07,-3.304916e-01,-1.609354e+00,-9.591901e-03,-9.208223e-04,2.017370e+00,1.774528e+00,2.014492e+00,1.774528e+00,0.0,0.0,0.0,0.0,0.0,0.0,
6.892896e-03,9.999994e-01,1.000000e-02,4.199997e+00,7.071061e-01,-1.004887e-03,-1.004946e-03,7.071061e-01,-1.877364e-04,-1.273346e-09,-1.297336e-03,-6.316909e-03,-3.764939e-05,-3.614339e-06,-2.677780e-02,-7.794692e-07,-3.855671e-01,-1.877579e+00,-1.119055e-02,-1.074293e-03,2.026711e+00,1.743396e+00,2.023354e+00,1.743396e+00,0.0,0.0,0.0,0.0,0.0,0.0,
7.877596e-03,9.999992e-01,1.000000e-02,4.199996e+00,7.071061e-01,-1.007351e-03,-1.007439e-03,7.071061e-01,-2.140664e-04,-2.194748e-09,-1.699600e-03,-8.275812e-03,-4.932462e-05,-4.735162e-06,-2.668692e-02,-1.166300e-06,-4.406426e-01,-2.145805e+00,-1.278919e-02,-1.227763e-03,2.036053e+00,1.712264e+00,2.032216e+00,1.712264e+00,0.0,0.0,0.0,0.0,0.0,0.0,
8.862295e-03,9.999989e-01,1.000000e-02,4.199994e+00,7.071061e-01,-1.010531e-03,-1.010658e-03,7.071061e-01,-2.403143e-04,-3.541035e-09,-2.156098e-03,-1.049884e-02,-6.257403e-05,-6.007108e-06,-2.661424e-02,-1.661585e-06,-4.957182e-01,-2.414031e+00,-1.438782e-02,-1.381233e-03,2.045394e+00,1.681132e+00,2.041078e+00,1.681132e+00,0.0,0.0,0.0,0.0,0.0,0.0,
