t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.000000e+00,1.000000e+00,1.000000e-02,4.200000e+00,7.071061e-01,-1.000009e-03,-1.000009e-03,7.071061e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.773746e-02,0.000000e+00,-3.922707e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.961320e+00,1.961320e+00,1.961320e+00,1.961320e+00,0.0,0.0,0.0,0.0,0.0,0.0,
9.915692e-04,1.000000e+00,1.000000e-02,4.200000e+00,7.071061e-01,-1.000009e-03,-1.000017e-03,7.071061e-01,-2.760930e-05,-2.002174e-11,3.731900e-05,-4.133992e-05,-4.133992e-05,1.141147e-05,-2.799334e-02,-1.217078e-07,9.038205e-02,-1.000594e-01,-1.000594e-01,2.762040e-02,1.972835e+00,1.942817e+00,2.000983e+00,2.000983e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.983138e-03,9.999999e-01,1.000000e-02,4.200000e+00,7.071061e-01,-1.000009e-03,-1.000084e-03,7.071061e-01,-5.547261e-05,-4.509805e-10,1.642969e-04,-1.818956e-04,-1.818957e-04,5.021048e-05,-2.825003e-02,-1.064438e-06,1.808033e-01,-2.001188e-01,-2.001188e-01,5.524079e-02,1.984350e+00,1.924314e+00,2.040646e+00,2.040646e+00,0.0,0.0,0.0,0.0,0.0,0.0,
2.974708e-03,9.999999e-01,1.000000e-02,4.200000e+00,7.071060e-01,-1.000009e-03,-1.000278e-03,7.071061e-01,-8.359115e-05,-2.523093e-09,3.809338e-04,-4.216671e-04,-4.216672e-04,1.163970e-04,-2.850856e-02,-3.841883e-06,2.712246e-01,-3.001781e-01,-3.001782e-01,8.286119e-02,1.995864e+00,1.905811e+00,2.080308e+00,2.080308e+00,0.0,0.0,0.0,0.0,0.0,0.0,
3.966277e-03,9.999998e-01,1.000000e-02,4.200001e+00,7.071060e-01,-1.000009e-03,-1.000669e-03,7.071062e-01,-1.119672e-04,-8.486423e-09,6.872297e-04,-7.606544e-04,-7.606546e-04,2.099711e-04,-2.876998e-02,-9.503320e-06,3.616459e-01,-4.002374e-01,-4.002377e-01,1.104816e-01,2.007379e+00,1.887308e+00,2.119971e+00,2.119971e+00,0.0,0.0,0.0,0.0,0.0,0.0,
4.957846e-03,9.999997e-01,1.000000e-02,4.200002e+00,7.071059e-01,-1.000009e-03,-1.001327e-03,7.071063e-01,-1.406040e-04,-2.164617e-08,1.083184e-03,-1.198857e-03,-1.198858e-03,3.309327e-04,-2.903536e-02,-1.913361e-05,4.520671e-01,-5.002966e-01,-5.002972e-01,1.381020e-01,2.018894e+00,1.868805e+00,2.159634e+00,2.159634e+00,0.0,0.0,0.0,0.0,0.0,0.0,
5.949415e-03,9.999995e-01,1.000000e-02,4.200003e+00,7.071058e-01,-1.000009e-03,-1.002321e-03,7.071064e-01,-1.695060e-04,-4.639794e-08,1.568798e-03,-1.736276e-03,-1.736277e-03,4.792818e-04,-2.930583e-02,-3.385320e-05,5.424883e-01,-6.003557e-01,-6.003569e-01,1.657224e-01,2.030409e+00,1.850302e+00,2.199297e+00,2.199297e+00,0.0,0.0,0.0,0.0,0.0,0.0,
6.940984e-03,9.999993e-01,1.000000e-02,4.200005e+00,7.071056e-01,-1.000009e-03,-1.003721e-03,7.071066e-01,-1.986788e-04,-8.826304e-08,2.144071e-03,-2.372910e-03,-2.372913e-03,6.550185e-04,-2.958255e-02,-5.481811e-05,6.329096e-01,-7.004146e-01,-7.004168e-01,1.933428e-01,2.041924e+00,1.831799e+00,2.238959e+00,2.238959e+00,0.0,0.0,0.0,0.0,0.0,0.0,
7.932553e-03,9.999991e-01,1.000000e-02,4.200007e+00,7.071053e-01,-1.000010e-03,-1.005596e-03,7.071068e-01,-2.281289e-04,-1.539238e-07,2.809002e-03,-3.108759e-03,-3.108765e-03,8.581427e-04,-2.986671e-02,-8.321998e-05,7.233307e-01,-8.004733e-01,-8.004769e-01,2.209632e-01,2.053438e+00,1.813296e+00,2.278622e+00,2.278622e+00,0.0,0.0,0.0,0.0,0.0,0.0,
8.924123e-03,9.999989e-01,1.000000e-02,4.200010e+00,7.071050e-01,-1.000010e-03,-1.008016e-03,7.071072e-01,-2.578643e-04,-2.512588e-07,3.563593e-03,-3.943823e-03,-3.943833e-03,1.088654e-03,-3.015953e-02,-1.202860e-04,8.137519e-01,-9.005316e-01,-9.005374e-01,2.485836e-01,2.064953e+00,1.794793e+00,2.318285e+00,2.318285e+00,0.0,0.0,0.0,0.0,0.0,0.0,
9.915692e-03,9.999986e-01,9.999999e-03,4.200014e+00,7.071045e-01,-1.000011e-03,-1.011050e-03,7.071076e-01,-2.878940e-04,-3.893782e-07,4.407842e-03,-4.878102e-03,-4.878119e-03,1.346554e-03,-3.046227e-02,-1.672790e-04,9.041731e-01,-1.000589e+00,-1.000598e+00,2.762040e-01,2.076468e+00,1.776290e+00,2.357948e+00,2.357948e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.090726e-02,9.999983e-01,9.999999e-03,4.200019e+00,7.071040e-01,-1.000011e-03,-1.014768e-03,7.071081e-01,-3.182286e-04,-5.786590e-07,5.341750e-03,-5.911595e-03,-5.911622e-03,1.631841e-03,-3.077624e-02,-2.254974e-04,9.945942e-01,-1.100647e+00,-1.100660e+00,3.038244e-01,2.087983e+00,1.757787e+00,2.397610e+00,2.397610e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.189883e-02,9.999980e-01,9.999998e-03,4.200025e+00,7.071034e-01,-1.000012e-03,-1.019239e-03,7.071087e-01,-3.488795e-04,-8.307804e-07,6.365316e-03,-7.044301e-03,-7.044343e-03,1.944515e-03,-3.110277e-02,-2.962752e-04,1.085015e+00,-1.200703e+00,-1.200722e+00,3.314448e-01,2.099498e+00,1.739284e+00,2.437273e+00,2.437273e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.289040e-02,9.999976e-01,9.999997e-03,4.200031e+00,7.071027e-01,-1.000013e-03,-1.024534e-03,7.071095e-01,-3.798599e-04,-1.158759e-06,7.478542e-03,-8.276220e-03,-8.276284e-03,2.284577e-03,-3.144323e-02,-3.809821e-04,1.175436e+00,-1.300759e+00,-1.300785e+00,3.590652e-01,2.111012e+00,1.720781e+00,2.476936e+00,2.476936e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.388197e-02,9.999972e-01,9.999996e-03,4.200039e+00,7.071018e-01,-1.000015e-03,-1.030721e-03,7.071103e-01,-4.111842e-04,-1.576985e-06,8.681426e-03,-9.607351e-03,-9.607443e-03,2.652026e-03,-3.179902e-02,-4.810232e-04,1.265857e+00,-1.400814e+00,-1.400849e+00,3.866856e-01,2.122527e+00,1.702278e+00,2.516599e+00,2.516599e+00,0.0,0.0,0.0,0.0,0.0,0.0,
