t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.000000e+00,1.000000e+00,1.000000e-02,4.200000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.961320e+00,1.961320e+00,1.961320e+00,1.961320e+00,0.0,0.0,0.0,0.0,0.0,0.0,
9.980803e-04,1.000000e+00,1.000000e-02,4.200000e+00,1.500654e-11,-6.572857e-09,1.563150e-10,1.000000e+00,-2.135865e-11,5.079490e-13,-3.267165e-05,1.044104e-06,4.390332e-05,-1.002360e-07,-1.278820e-07,3.041275e-09,-7.856278e-02,2.510669e-03,1.055706e-01,-2.410291e-04,1.937690e+00,1.953902e+00,1.953149e+00,1.937690e+00,0.0,0.0,0.0,0.0,0.0,0.0,
1.996161e-03,1.000000e+00,1.000000e-02,4.200000e+00,1.300567e-10,-5.696476e-08,1.354730e-09,1.000000e+00,-4.734307e-10,1.125908e-11,-1.437553e-04,4.594058e-06,1.931746e-04,-4.410385e-07,-1.099360e-06,2.614486e-08,-1.571256e-01,5.021339e-03,2.111413e-01,-4.820583e-04,1.914059e+00,1.946484e+00,1.944977e+00,1.914059e+00,0.0,0.0,0.0,0.0,0.0,0.0,
2.994241e-03,1.000000e+00,1.000000e-02,4.200000e+00,4.652027e-10,-2.037586e-07,4.845764e-09,1.000000e+00,-2.610706e-09,6.208752e-11,-3.332508e-04,1.064986e-05,4.478139e-04,-1.022407e-06,-3.900310e-06,9.275675e-08,-2.356883e-01,7.532008e-03,3.167119e-01,-7.230874e-04,1.890429e+00,1.939066e+00,1.936806e+00,1.890429e+00,0.0,0.0,0.0,0.0,0.0,0.0,
3.992321e-03,1.000000e+00,1.000000e-02,4.199999e+00,1.140497e-09,-4.995371e-07,1.187994e-08,1.000000e+00,-8.657913e-09,2.059015e-10,-6.011584e-04,1.921151e-05,8.078212e-04,-1.844343e-06,-9.483561e-06,2.255370e-07,-3.142511e-01,1.004268e-02,4.222826e-01,-9.641165e-04,1.866799e+00,1.931647e+00,1.928635e+00,1.866799e+00,0.0,0.0,0.0,0.0,0.0,0.0,
4.990402e-03,1.000000e+00,1.000000e-02,4.199999e+00,2.275992e-09,-9.968833e-07,2.370777e-08,1.000000e+00,-2.177704e-08,5.178992e-10,-9.474779e-04,3.027902e-05,1.273196e-03,-2.906844e-06,-1.876889e-05,4.463598e-07,-3.928139e-01,1.255335e-02,5.278532e-01,-1.205146e-03,1.843168e+00,1.924229e+00,1.920463e+00,1.843168e+00,0.0,0.0,0.0,0.0,0.0,0.0,
5.988482e-03,1.000000e+00,1.000000e-02,4.199997e+00,3.991739e-09,-1.748380e-06,4.157978e-08,1.000000e+00,-4.603433e-08,1.094784e-09,-1.372209e-03,4.385237e-05,1.843940e-03,-4.209913e-06,-3.264303e-05,7.763132e-07,-4.713767e-01,1.506402e-02,6.334238e-01,-1.446175e-03,1.819538e+00,1.916811e+00,1.912292e+00,1.819538e+00,0.0,0.0,0.0,0.0,0.0,0.0,
6.986562e-03,1.000000e+00,1.000000e-02,4.199996e+00,6.407792e-09,-2.806610e-06,6.674649e-08,1.000000e+00,-8.636734e-08,2.053979e-09,-1.875353e-03,5.993158e-05,2.520051e-03,-5.753547e-06,-5.195967e-05,1.235700e-06,-5.499394e-01,1.757469e-02,7.389945e-01,-1.687204e-03,1.795908e+00,1.909393e+00,1.904120e+00,1.795908e+00,0.0,0.0,0.0,0.0,0.0,0.0,
7.984643e-03,1.000000e+00,1.000000e-02,4.199994e+00,9.644202e-09,-4.224156e-06,1.004584e-07,1.000000e+00,-1.485519e-07,3.532846e-09,-2.456908e-03,7.851665e-05,3.301530e-03,-7.537748e-06,-7.753943e-05,1.844035e-06,-6.285022e-01,2.008537e-02,8.445651e-01,-1.928233e-03,1.772277e+00,1.901975e+00,1.895949e+00,1.772277e+00,0.0,0.0,0.0,0.0,0.0,0.0,
8.982723e-03,1.000000e+00,1.000000e-02,4.199991e+00,1.382102e-08,-6.053601e-06,1.439661e-07,1.000000e+00,-2.391692e-07,5.687897e-09,-3.116876e-03,9.960757e-05,4.188377e-03,-9.562516e-06,-1.101699e-04,2.620051e-06,-7.070650e-01,2.259605e-02,9.501357e-01,-2.169262e-03,1.748647e+00,1.894557e+00,1.887778e+00,1.748647e+00,0.0,0.0,0.0,0.0,0.0,0.0,
